Area (table worldbank);Correspondance  (table mortality)
Kazakhstan;Kazakhstan
Kenya; 
Kiribati;Kiribati
Korea, Dem. People’s Rep.; 
Korea, Rep.;Republic of Korea
Kuwait;Kuwait
Kyrgyz Republic;Kyrgyzstan
Lao PDR; 
Late-demographic dividend; 
Latin America & Caribbean; 
Latin America & Caribbean (excluding high income); 
Latin America & the Caribbean (IDA & IBRD countries); 
Latvia;Latvia
Least developed countries: UN classification; 
Lebanon; 
Lesotho; 
Liberia; 
Libya; 
Liechtenstein; 
Lithuania;Lithuania
Low & middle income; 
Low income; 
Lower middle income; 
Luxembourg;Luxembourg
Macao SAR, China;Macau
Macedonia, FYR;TFYR Macedonia
Madagascar; 
Malawi; 
Malaysia;Malaysia
Maldives;Maldives
Mali; 
Malta;Malta
Marshall Islands; 
Mauritania; 
Mauritius;Mauritius
Mexico;Mexico
Micronesia, Fed. Sts.; 
Middle East & North Africa; 
Middle East & North Africa (IDA & IBRD countries); 
Middle East & North Africa (excluding high income); 
Middle income; 
Moldova;Republic of Moldova
Monaco;Monaco
Mongolia;Mongolia
Montenegro;Montenegro
Morocco;Morocco
Mozambique; 
Myanmar; 
Namibia; 
Nauru; 
Nepal; 
Netherlands;Netherlands
New Caledonia; 
New Zealand;New Zealand
Nicaragua;Nicaragua
Niger; 
Nigeria; 
North America; 
Norway;Norway
OECD members; 
Oman;Oman
Other small states; 
Pacific island small states; 
Pakistan;Pakistan
Palau; 
Panama;Panama
Papua New Guinea;Papua New Guinea
Paraguay;Paraguay
Peru;Peru
Philippines;Philippines
Poland;Poland
Portugal;Portugal
Post-demographic dividend; 
Pre-demographic dividend; 
Puerto Rico;Puerto Rico
Qatar;Qatar
Romania;Romania
Russian Federation;Russian Federation
Rwanda; 
Samoa; 
San Marino;San Marino
Sao Tome and Principe;Sao Tome and Principe
Saudi Arabia;Saudi Arabia
Senegal; 
Serbia;Serbia
Seychelles;Seychelles
Sierra Leone; 
Singapore;Singapore
Sint Maarten (Dutch part); 
Slovak Republic;Slovakia
Slovenia;Slovenia
Small states; 
Solomon Islands; 
Somalia; 
South Africa;South Africa
South Asia; 
South Asia (IDA & IBRD); 
South Sudan; 
Spain;Spain
Sri Lanka;Sri Lanka
St. Kitts and Nevis;Saint Kitts and Nevis
St. Lucia;Saint Lucia
St. Vincent and the Grenadines;Saint Vincent and Grenadines
Sub-Saharan Africa; 
Sub-Saharan Africa (IDA & IBRD countries); 
Sub-Saharan Africa (excluding high income); 
Sudan; 
Suriname;Suriname
Swaziland; 
Sweden;Sweden
Switzerland;Switzerland
Syrian Arab Republic;Syrian Arab Republic
Tajikistan;Tajikistan
Tanzania; 
Thailand;Thailand
Timor-Leste; 
Togo; 
Tonga; 
Trinidad and Tobago;Trinidad and Tobago
Tunisia;Tunisia
Turkey;Turkey
Turkmenistan;Turkmenistan
Turks and Caicos Islands;Turks and Caicos Islands
Tuvalu; 
Uganda; 
Ukraine;Ukraine
United Arab Emirates; 
United Kingdom;United Kingdom
United States;United States of America
Upper middle income; 
Uruguay;Uruguay
Uzbekistan;Uzbekistan
Vanuatu; 
Venezuela, RB;Venezuela
Vietnam; 
Virgin Islands (U.S.);Virgin Islands (USA)
West Bank and Gaza; 
World; 
Yemen, Rep.; 
Zambia; 
Zimbabwe;Zimbabwe
